order_id,customer_id,order_date,product_category,quantity,amount
1001,1,2023-02-01,Software,5,499.95
1002,1,2023-04-15,Hardware,2,299.98
1003,2,2023-03-10,Services,1,1500.00
1004,2,2023-07-22,Software,3,899.97
1005,3,2023-04-05,Apparel,10,450.00
1006,3,2023-06-12,Accessories,5,125.50
1007,4,2023-05-20,Medical,2,750.00
1008,4,2023-08-30,Equipment,1,2200.00
1009,5,2023-06-15,Parts,20,1800.00
1010,5,2023-09-01,Tools,8,640.00
1011,6,2023-07-10,Consulting,1,3500.00
1012,7,2023-08-05,Software,10,2499.50
1013,7,2023-10-18,Hardware,4,799.96
1014,8,2023-09-20,Apparel,15,675.00
1015,9,2023-10-05,Services,2,2800.00
1016,10,2023-11-10,Medical,3,1125.00
1017,1,2023-11-25,Software,2,399.98
1018,2,2023-12-01,Services,1,1750.00
1019,3,2023-12-10,Apparel,8,360.00
1020,4,2023-12-15,Medical,1,450.00
